"shortDescription","description","founded","city","country","industries/0","industries/1","industries/2","shortDescription_tokenize"
"Business & tech strategy co-creation services","Taival is delivering the next generation of business, strategy and technology advisory services. We believe a strong core team combined with a wide and deep ecosystem of partners can deliver leading-edge business and technology services to both corporations and start-up companies.","2017-03-01","Espoo","Finland","on-demand_services","NULL","NULL","business"
"Business & tech strategy co-creation services","Taival is delivering the next generation of business, strategy and technology advisory services. We believe a strong core team combined with a wide and deep ecosystem of partners can deliver leading-edge business and technology services to both corporations and start-up companies.","2017-03-01","Espoo","Finland","on-demand_services","NULL","NULL","tech"
"Business & tech strategy co-creation services","Taival is delivering the next generation of business, strategy and technology advisory services. We believe a strong core team combined with a wide and deep ecosystem of partners can deliver leading-edge business and technology services to both corporations and start-up companies.","2017-03-01","Espoo","Finland","on-demand_services","NULL","NULL","strategy"
"Business & tech strategy co-creation services","Taival is delivering the next generation of business, strategy and technology advisory services. We believe a strong core team combined with a wide and deep ecosystem of partners can deliver leading-edge business and technology services to both corporations and start-up companies.","2017-03-01","Espoo","Finland","on-demand_services","NULL","NULL","co"
"Business & tech strategy co-creation services","Taival is delivering the next generation of business, strategy and technology advisory services. We believe a strong core team combined with a wide and deep ecosystem of partners can deliver leading-edge business and technology services to both corporations and start-up companies.","2017-03-01","Espoo","Finland","on-demand_services","NULL","NULL","creation"
"Business & tech strategy co-creation services","Taival is delivering the next generation of business, strategy and technology advisory services. We believe a strong core team combined with a wide and deep ecosystem of partners can deliver leading-edge business and technology services to both corporations and start-up companies.","2017-03-01","Espoo","Finland","on-demand_services","NULL","NULL","services"
"Connecting consumers to the best local products","ProLocalis connects consumers to local producers of food, beverages, and tourism experiences","2017-10-01","Helsinki","Finland","hospitality_and_travel","nutrition_food_beverages_supplements","health","connecting"
"Connecting consumers to the best local products","ProLocalis connects consumers to local producers of food, beverages, and tourism experiences","2017-10-01","Helsinki","Finland","hospitality_and_travel","nutrition_food_beverages_supplements","health","consumers"
"Connecting consumers to the best local products","ProLocalis connects consumers to local producers of food, beverages, and tourism experiences","2017-10-01","Helsinki","Finland","hospitality_and_travel","nutrition_food_beverages_supplements","health","to"
"Connecting consumers to the best local products","ProLocalis connects consumers to local producers of food, beverages, and tourism experiences","2017-10-01","Helsinki","Finland","hospitality_and_travel","nutrition_food_beverages_supplements","health","the"
"Connecting consumers to the best local products","ProLocalis connects consumers to local producers of food, beverages, and tourism experiences","2017-10-01","Helsinki","Finland","hospitality_and_travel","nutrition_food_beverages_supplements","health","best"
"Connecting consumers to the best local products","ProLocalis connects consumers to local producers of food, beverages, and tourism experiences","2017-10-01","Helsinki","Finland","hospitality_and_travel","nutrition_food_beverages_supplements","health","local"
"Connecting consumers to the best local products","ProLocalis connects consumers to local producers of food, beverages, and tourism experiences","2017-10-01","Helsinki","Finland","hospitality_and_travel","nutrition_food_beverages_supplements","health","products"
"Enabling gamers to find the perfect teammates","Available in France and in the Nordics, KYKLOS is enabling gamers to find the perfect teammates to enter the amateur esport scene. 
We design a technical and a psychological profile for each user and then automatically push the most relevant profiles to create the best multiplayer experience on the market. Once the team is created, we reward the played time and the performance with a virtual currency which will be spent on our marketplace into discounts on different items. ","2018-11-01","Paris","France","sports","gaming","NULL","enabling"
"Enabling gamers to find the perfect teammates","Available in France and in the Nordics, KYKLOS is enabling gamers to find the perfect teammates to enter the amateur esport scene. 
We design a technical and a psychological profile for each user and then automatically push the most relevant profiles to create the best multiplayer experience on the market. Once the team is created, we reward the played time and the performance with a virtual currency which will be spent on our marketplace into discounts on different items. ","2018-11-01","Paris","France","sports","gaming","NULL","gamers"
"Enabling gamers to find the perfect teammates","Available in France and in the Nordics, KYKLOS is enabling gamers to find the perfect teammates to enter the amateur esport scene. 
We design a technical and a psychological profile for each user and then automatically push the most relevant profiles to create the best multiplayer experience on the market. Once the team is created, we reward the played time and the performance with a virtual currency which will be spent on our marketplace into discounts on different items. ","2018-11-01","Paris","France","sports","gaming","NULL","to"
"Enabling gamers to find the perfect teammates","Available in France and in the Nordics, KYKLOS is enabling gamers to find the perfect teammates to enter the amateur esport scene. 
We design a technical and a psychological profile for each user and then automatically push the most relevant profiles to create the best multiplayer experience on the market. Once the team is created, we reward the played time and the performance with a virtual currency which will be spent on our marketplace into discounts on different items. ","2018-11-01","Paris","France","sports","gaming","NULL","find"
"Enabling gamers to find the perfect teammates","Available in France and in the Nordics, KYKLOS is enabling gamers to find the perfect teammates to enter the amateur esport scene. 
We design a technical and a psychological profile for each user and then automatically push the most relevant profiles to create the best multiplayer experience on the market. Once the team is created, we reward the played time and the performance with a virtual currency which will be spent on our marketplace into discounts on different items. ","2018-11-01","Paris","France","sports","gaming","NULL","the"
"Enabling gamers to find the perfect teammates","Available in France and in the Nordics, KYKLOS is enabling gamers to find the perfect teammates to enter the amateur esport scene. 
We design a technical and a psychological profile for each user and then automatically push the most relevant profiles to create the best multiplayer experience on the market. Once the team is created, we reward the played time and the performance with a virtual currency which will be spent on our marketplace into discounts on different items. ","2018-11-01","Paris","France","sports","gaming","NULL","perfect"
"Enabling gamers to find the perfect teammates","Available in France and in the Nordics, KYKLOS is enabling gamers to find the perfect teammates to enter the amateur esport scene. 
We design a technical and a psychological profile for each user and then automatically push the most relevant profiles to create the best multiplayer experience on the market. Once the team is created, we reward the played time and the performance with a virtual currency which will be spent on our marketplace into discounts on different items. ","2018-11-01","Paris","France","sports","gaming","NULL","teammates"
"Analytics","Riskmanagement tool for investors","2017-04-01","Espoo","Finland","financial_and_insurance","construction_and_real_estate","NULL","analytics"
"Molnix Rapid Personnel Manager for humanitarian HR","Is your personnel roster still in a spreadsheet? Molnix Rapid Personnel Manager brings proper HR tools to roster management for humanitarian organizations. With it, you can alert the right people in under 60 seconds. By automating and offloading many parts of Human Resource Management, it saves you time and money. We have proven the benefits in operation with the Finnish Red Cross. It is cloud based, available immediately, and works on desktop and mobile. 100% owned by us, but open for angels.","2014-10-01","Espoo","Finland","social_entrepreneurship","hr","education","molnix"
"Molnix Rapid Personnel Manager for humanitarian HR","Is your personnel roster still in a spreadsheet? Molnix Rapid Personnel Manager brings proper HR tools to roster management for humanitarian organizations. With it, you can alert the right people in under 60 seconds. By automating and offloading many parts of Human Resource Management, it saves you time and money. We have proven the benefits in operation with the Finnish Red Cross. It is cloud based, available immediately, and works on desktop and mobile. 100% owned by us, but open for angels.","2014-10-01","Espoo","Finland","social_entrepreneurship","hr","education","rapid"
"Molnix Rapid Personnel Manager for humanitarian HR","Is your personnel roster still in a spreadsheet? Molnix Rapid Personnel Manager brings proper HR tools to roster management for humanitarian organizations. With it, you can alert the right people in under 60 seconds. By automating and offloading many parts of Human Resource Management, it saves you time and money. We have proven the benefits in operation with the Finnish Red Cross. It is cloud based, available immediately, and works on desktop and mobile. 100% owned by us, but open for angels.","2014-10-01","Espoo","Finland","social_entrepreneurship","hr","education","personnel"
"Molnix Rapid Personnel Manager for humanitarian HR","Is your personnel roster still in a spreadsheet? Molnix Rapid Personnel Manager brings proper HR tools to roster management for humanitarian organizations. With it, you can alert the right people in under 60 seconds. By automating and offloading many parts of Human Resource Management, it saves you time and money. We have proven the benefits in operation with the Finnish Red Cross. It is cloud based, available immediately, and works on desktop and mobile. 100% owned by us, but open for angels.","2014-10-01","Espoo","Finland","social_entrepreneurship","hr","education","manager"
"Molnix Rapid Personnel Manager for humanitarian HR","Is your personnel roster still in a spreadsheet? Molnix Rapid Personnel Manager brings proper HR tools to roster management for humanitarian organizations. With it, you can alert the right people in under 60 seconds. By automating and offloading many parts of Human Resource Management, it saves you time and money. We have proven the benefits in operation with the Finnish Red Cross. It is cloud based, available immediately, and works on desktop and mobile. 100% owned by us, but open for angels.","2014-10-01","Espoo","Finland","social_entrepreneurship","hr","education","for"
"Molnix Rapid Personnel Manager for humanitarian HR","Is your personnel roster still in a spreadsheet? Molnix Rapid Personnel Manager brings proper HR tools to roster management for humanitarian organizations. With it, you can alert the right people in under 60 seconds. By automating and offloading many parts of Human Resource Management, it saves you time and money. We have proven the benefits in operation with the Finnish Red Cross. It is cloud based, available immediately, and works on desktop and mobile. 100% owned by us, but open for angels.","2014-10-01","Espoo","Finland","social_entrepreneurship","hr","education","humanitarian"
"Molnix Rapid Personnel Manager for humanitarian HR","Is your personnel roster still in a spreadsheet? Molnix Rapid Personnel Manager brings proper HR tools to roster management for humanitarian organizations. With it, you can alert the right people in under 60 seconds. By automating and offloading many parts of Human Resource Management, it saves you time and money. We have proven the benefits in operation with the Finnish Red Cross. It is cloud based, available immediately, and works on desktop and mobile. 100% owned by us, but open for angels.","2014-10-01","Espoo","Finland","social_entrepreneurship","hr","education","hr"
"AV-industry, digital signage, construction industry","Seloy Live is providing customized interactive glass surfaces that enable immersive augmented customer experiences.

SENSE - Augmented Interactive Window gives exceptional experiences; Interaction is the key to brand engagement and customer engagement is everything. With Seloy Live SENSE you can make your brand really stand out. SENSE is a state-of-the-art combination of a transparent insulating glass unit and an interactive touch surface, available in any size up to 3 x 6 meters.","2016-04-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","av"
"AV-industry, digital signage, construction industry","Seloy Live is providing customized interactive glass surfaces that enable immersive augmented customer experiences.

SENSE - Augmented Interactive Window gives exceptional experiences; Interaction is the key to brand engagement and customer engagement is everything. With Seloy Live SENSE you can make your brand really stand out. SENSE is a state-of-the-art combination of a transparent insulating glass unit and an interactive touch surface, available in any size up to 3 x 6 meters.","2016-04-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","industry"
"AV-industry, digital signage, construction industry","Seloy Live is providing customized interactive glass surfaces that enable immersive augmented customer experiences.

SENSE - Augmented Interactive Window gives exceptional experiences; Interaction is the key to brand engagement and customer engagement is everything. With Seloy Live SENSE you can make your brand really stand out. SENSE is a state-of-the-art combination of a transparent insulating glass unit and an interactive touch surface, available in any size up to 3 x 6 meters.","2016-04-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","digital"
"AV-industry, digital signage, construction industry","Seloy Live is providing customized interactive glass surfaces that enable immersive augmented customer experiences.

SENSE - Augmented Interactive Window gives exceptional experiences; Interaction is the key to brand engagement and customer engagement is everything. With Seloy Live SENSE you can make your brand really stand out. SENSE is a state-of-the-art combination of a transparent insulating glass unit and an interactive touch surface, available in any size up to 3 x 6 meters.","2016-04-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","signage"
"AV-industry, digital signage, construction industry","Seloy Live is providing customized interactive glass surfaces that enable immersive augmented customer experiences.

SENSE - Augmented Interactive Window gives exceptional experiences; Interaction is the key to brand engagement and customer engagement is everything. With Seloy Live SENSE you can make your brand really stand out. SENSE is a state-of-the-art combination of a transparent insulating glass unit and an interactive touch surface, available in any size up to 3 x 6 meters.","2016-04-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","construction"
